fold,n_train,n_test,train_base_rate,test_base_rate,brier,log_loss,roc_auc,naive_brier,naive_log_loss,model
2014,27968,6240,0.1055849542334096,0.15929487179487178,0.13999003753988218,0.5068183322236088,0.5794530814317855,0.13680477085918621,0.4519433862517567,logreg
2015,34208,6312,0.11435921421889617,0.04420152091254753,0.06581505496059215,0.2541783877671304,0.5825326296765639,0.04716984839163284,0.211922896179312,logreg
2016,40520,6344,0.10530602171767028,0.07172131147540983,0.06981835910311399,0.26570753273506054,0.6313924825386873,0.06770529771771368,0.2647292593387267,logreg
2017,46864,6280,0.0996073745305565,0.13630573248407643,0.11806066686213725,0.3944259053873505,0.6307866302070412,0.1190732492525405,0.4050143405808371,logreg
2018,53150,6265,0.10250235183443085,0.07948922585794094,0.07353512772894998,0.27299627894797585,0.6405319561582553,0.073700292797656,0.2806145203014091,logreg
2019,59425,6202,0.10221287336979386,0.08771364076104482,0.08474752898791271,0.3061583764409296,0.6437592269145197,0.08023018573172983,0.29841309984668796,logreg
2020,65611,6464,0.10047095761381476,0.13366336633663367,0.12404220840267563,0.5729187247827519,0.614996693121693,0.1168992068330152,0.3988743898504279,logreg
2021,72075,6420,0.10251821019771072,0.1397196261682243,0.12235847313900708,0.4223173882004742,0.5751922991136085,0.12158199758184715,0.4112914972004482,logreg
2022,78495,6473,0.10618510733167717,0.07461764251506257,0.07023816098243647,0.2701533601043403,0.6025079756806547,0.07004635477550511,0.2712156509967057,logreg
2023,84948,6615,0.10418138155106653,0.15570672713529857,0.12968885854653114,0.42462391945802613,0.6112690893603706,0.1341170034976868,0.44503661983394827,logreg
2024,91563,6642,0.10694276072212575,0.0998193315266486,0.08810789313749658,0.31245798175982686,0.6440114558824159,0.0899061758237246,0.32495685261277507,logreg
2025,98205,6695,0.10728577974644876,0.10201643017176998,0.09320311264294558,0.3352452625307089,0.5967153053580492,0.09163684419171853,0.32963816345542624,logreg
2026,104900,4019,0.10645376549094375,0.0520029858173675,0.0521978540167692,0.21563764094625848,0.6797046302226576,0.052263562690506526,0.2231928929762685,logreg
2014,27968,6240,0.1055849542334096,0.15929487179487178,0.15112974646061308,0.5459531897371109,0.5716579308101756,0.13680477085918621,0.4519433862517567,gbm
2015,34208,6312,0.11435921421889617,0.04420152091254753,0.059279111606746634,0.22669441892979342,0.6142022341874767,0.04716984839163284,0.211922896179312,gbm
2016,40520,6344,0.10530602171767028,0.07172131147540983,0.07717309440762908,0.2786970284845821,0.6387309922205491,0.06770529771771368,0.2647292593387267,gbm
2017,46864,6280,0.0996073745305565,0.13630573248407643,0.12352265204656085,0.4195302590169229,0.6038489803021532,0.1190732492525405,0.4050143405808371,gbm
2018,53150,6265,0.10250235183443085,0.07948922585794094,0.08337644226125533,0.30292292483949584,0.5954734491982148,0.073700292797656,0.2806145203014091,gbm
2019,59425,6202,0.10221287336979386,0.08771364076104482,0.08166745778890633,0.2920827142372332,0.6719667818081634,0.08023018573172983,0.29841309984668796,gbm
2020,65611,6464,0.10047095761381476,0.13366336633663367,0.13007731958702443,0.46580028456147254,0.5491815476190476,0.1168992068330152,0.3988743898504279,gbm
2021,72075,6420,0.10251821019771072,0.1397196261682243,0.12015830545792713,0.4183399049298805,0.6263530374953751,0.12158199758184715,0.4112914972004482,gbm
2022,78495,6473,0.10618510733167717,0.07461764251506257,0.07158285086764923,0.27202893144194,0.5796525955958343,0.07004635477550511,0.2712156509967057,gbm
2023,84948,6615,0.10418138155106653,0.15570672713529857,0.13218108506881066,0.42698616910261317,0.6309680054932161,0.1341170034976868,0.44503661983394827,gbm
2024,91563,6642,0.10694276072212575,0.0998193315266486,0.08843218634456916,0.3133480226544843,0.6517187986005317,0.0899061758237246,0.32495685261277507,gbm
2025,98205,6695,0.10728577974644876,0.10201643017176998,0.09078802134336923,0.31869861066144145,0.6656008383428361,0.09163684419171853,0.32963816345542624,gbm
2026,104900,4019,0.10645376549094375,0.0520029858173675,0.05100058318372839,0.20319003707522876,0.7088058370694094,0.052263562690506526,0.2231928929762685,gbm
