feature,feature_value,shap_value,example,ticker,date,predicted_prob
numeric__realized_vol_20d,-0.4162195630752376,0.6195943226557387,highest_prob,HDFCBANK.NS,2026-09-01,0.19593342924956958
numeric__bb_width,-0.9769612616173055,0.15498093055102452,highest_prob,HDFCBANK.NS,2026-09-01,0.19593342924956958
numeric__corr_20d_vs_nifty,0.20051004835520275,0.062231549726308656,highest_prob,HDFCBANK.NS,2026-09-01,0.19593342924956958
numeric__close_over_sma_200,-1.3314225224292153,0.05984353234546581,highest_prob,HDFCBANK.NS,2026-09-01,0.19593342924956958
numeric__beta_60d_vs_nifty,0.9222864219918704,0.05959664578542066,highest_prob,HDFCBANK.NS,2026-09-01,0.19593342924956958
numeric__corr_60d_vs_nifty,0.6314035612726664,-0.055666128195672085,highest_prob,HDFCBANK.NS,2026-09-01,0.19593342924956958
numeric__volume_ratio_20,0.7624416196428411,0.036321943935975806,highest_prob,HDFCBANK.NS,2026-09-01,0.19593342924956958
numeric__close_over_sma_10,-0.49098884115428976,0.03437466674121526,highest_prob,HDFCBANK.NS,2026-09-01,0.19593342924956958
numeric__macd_signal,-0.20695574094477087,0.029017435441232968,highest_prob,HDFCBANK.NS,2026-09-01,0.19593342924956958
numeric__realized_vol_60d,-0.19623683785511342,-0.026731676179890248,highest_prob,HDFCBANK.NS,2026-09-01,0.19593342924956958
numeric__realized_vol_20d,0.11080878580275717,-0.3442055039389739,lowest_prob,TCS.NS,2026-09-01,0.04933636581463459
numeric__sma_200,0.10732811734916065,-0.09075273092934193,lowest_prob,TCS.NS,2026-09-01,0.04933636581463459
numeric__volume_ratio_20,-0.04906967879574282,0.056377214062353555,lowest_prob,TCS.NS,2026-09-01,0.04933636581463459
numeric__corr_20d_vs_nifty,-1.1214680711919358,-0.03698077976073364,lowest_prob,TCS.NS,2026-09-01,0.04933636581463459
numeric__close_over_sma_200,-0.8858363287288264,-0.03437410819884427,lowest_prob,TCS.NS,2026-09-01,0.04933636581463459
numeric__close_over_sma_10,0.7265821334731309,-0.03266479777227614,lowest_prob,TCS.NS,2026-09-01,0.04933636581463459
numeric__log_return_5d,0.5689612708187636,-0.0295908252665637,lowest_prob,TCS.NS,2026-09-01,0.04933636581463459
numeric__macd_hist,-0.04700059511554658,0.026992573827084407,lowest_prob,TCS.NS,2026-09-01,0.04933636581463459
numeric__ema_12,0.0533501447873651,0.02559840993291947,lowest_prob,TCS.NS,2026-09-01,0.04933636581463459
numeric__ema_26,0.052757292914128,-0.024609161434238948,lowest_prob,TCS.NS,2026-09-01,0.04933636581463459
