fold,n_train,n_test,train_base_rate,test_base_rate,brier,log_loss,roc_auc,naive_brier,naive_log_loss
2014,27968,6240,0.1055849542334096,0.15929487179487178,0.14060858190183143,0.4714024603576179,0.6098005302113865,0.13680477085918621,0.4519433862517567
2015,34208,6312,0.11435921421889617,0.04420152091254753,0.0520444906256261,0.215412222742799,0.6467662622600785,0.04716984839163284,0.211922896179312
2016,40520,6344,0.10530602171767028,0.07172131147540983,0.07114951841075201,0.26460861105633277,0.6656963345705067,0.06770529771771368,0.2647292593387267
2017,46864,6280,0.0996073745305565,0.13630573248407643,0.11569720885296299,0.38450988666735114,0.647874064386734,0.1190732492525405,0.4050143405808371
2018,53150,6265,0.10250235183443085,0.07948922585794094,0.07777673983374572,0.28431578658261353,0.616317707103775,0.073700292797656,0.2806145203014091
2019,59425,6202,0.10221287336979386,0.08771364076104482,0.07965746105850605,0.2868301244162903,0.6815176130102094,0.08023018573172983,0.29841309984668796
2020,65611,6464,0.10047095761381476,0.13366336633663367,0.12265756648156992,0.42886399877101494,0.5307972676917989,0.1168992068330152,0.3988743898504279
2021,72075,6420,0.10251821019771072,0.1397196261682243,0.11819046935126833,0.39937099455106373,0.6410195854732142,0.12158199758184715,0.4112914972004482
2022,78495,6473,0.10618510733167717,0.07461764251506257,0.06995190110162636,0.2655104343220512,0.6044542837095642,0.07004635477550511,0.2712156509967057
2023,84948,6615,0.10418138155106653,0.15570672713529857,0.1287053406577385,0.42016155542725525,0.6234675057148569,0.1341170034976868,0.44503661983394827
2024,91563,6642,0.10694276072212575,0.0998193315266486,0.08733126703452658,0.30969478152095137,0.6644984444045865,0.0899061758237246,0.32495685261277507
2025,98205,6695,0.10728577974644876,0.10201643017176998,0.08913639521067226,0.3151369765220792,0.6769094802099072,0.09163684419171853,0.32963816345542624
2026,104900,4019,0.10645376549094375,0.0520029858173675,0.05010252194525582,0.20396803895274598,0.7134618041165908,0.052263562690506526,0.2231928929762685
