fold,n_train,n_test,train_base_rate,test_base_rate,brier,log_loss,roc_auc,naive_brier,naive_log_loss,model
2014,28358,6240,0.1811129134635729,0.20560897435897435,0.16596561467043064,0.5260340178693623,0.5390176248394022,0.1639339810214162,0.5100371436333738,logreg
2015,34598,6312,0.1852708249031736,0.1525665399239544,0.1324533273311649,0.4337868658127068,0.5778192059268267,0.1303595610755888,0.43085622494614806,logreg
2016,40910,6344,0.18046932290393547,0.16850567465321564,0.13864101733986023,0.4477484477637667,0.5892609915809167,0.14025464114234723,0.45400135189318763,logreg
2017,47254,6280,0.17772040462183095,0.1944267515923567,0.15485907016876369,0.4849757234643403,0.6049079502331134,0.1569040918867003,0.49351109991951847,logreg
2018,53539,6265,0.18052260968639683,0.16312849162011173,0.1355864523343506,0.44066967400002405,0.5792371377286947,0.13682014218516275,0.44587101092315634,logreg
2019,59804,6202,0.17890107685104675,0.15704611415672365,0.13897843610112035,0.4660234841648954,0.5738180842690362,0.13286027157936722,0.4364202165841694,logreg
2020,66001,6464,0.17669429251071953,0.1766707920792079,0.14686964607617195,0.6343823147381326,0.6077800670119275,0.14545822385758347,0.4663075240190577,logreg
2021,72465,6420,0.17652659904781617,0.18613707165109034,0.15065329943545397,0.4789073788775356,0.5672643991111289,0.15158242339190547,0.480886229120979,logreg
2022,78885,6473,0.17683970336565888,0.16993665997219218,0.1392638324071143,0.44913968743786054,0.5922421873678155,0.14110584357777978,0.45595114947876275,logreg
2023,85353,6615,0.17691235223132168,0.21315192743764172,0.16608998498684335,0.512799866288257,0.5689987123674045,0.16903149007839458,0.5223941216849162,logreg
2024,91968,6642,0.1793884829505915,0.17434507678410116,0.14317381001109958,0.4596689635977416,0.5607463508224271,0.14397430693100724,0.46279646733741575,logreg
2025,98610,6695,0.17896765033972215,0.1870052277819268,0.1502609196642373,0.4761001360510755,0.58675445027438,0.15209887521529591,0.4820685737878198,logreg
2026,105305,4424,0.17923175537723754,0.1385623869801085,0.12138753774590756,0.4068557941415832,0.5907360979186633,0.12101684942030455,0.4083456307813445,logreg
2014,28358,6240,0.1811129134635729,0.20560897435897435,0.16895813273634883,0.5338984908840564,0.5483207022324964,0.1639339810214162,0.5100371436333738,gbm
2015,34598,6312,0.1852708249031736,0.1525665399239544,0.13275623032437642,0.43204548437596396,0.5890506217425565,0.1303595610755888,0.43085622494614806,gbm
2016,40910,6344,0.18046932290393547,0.16850567465321564,0.14235957776651714,0.4551219038649197,0.5942538315917343,0.14025464114234723,0.45400135189318763,gbm
2017,47254,6280,0.17772040462183095,0.1944267515923567,0.15660717168982888,0.4915586800757702,0.5787846733685833,0.1569040918867003,0.49351109991951847,gbm
2018,53539,6265,0.18052260968639683,0.16312849162011173,0.13443884492216426,0.4360204700731537,0.6157123858742978,0.13682014218516275,0.44587101092315634,gbm
2019,59804,6202,0.17890107685104675,0.15704611415672365,0.13486874438672133,0.4376786382238441,0.5730939193318555,0.13286027157936722,0.4364202165841694,gbm
2020,66001,6464,0.17669429251071953,0.1766707920792079,0.15222253112795245,0.4854495785705552,0.544491243761645,0.14545822385758347,0.4663075240190577,gbm
2021,72465,6420,0.17652659904781617,0.18613707165109034,0.15081057208156848,0.47902218928475304,0.5838935757041901,0.15158242339190547,0.480886229120979,gbm
2022,78885,6473,0.17683970336565888,0.16993665997219218,0.13979561727594256,0.45097187052749355,0.588920105578397,0.14110584357777978,0.45595114947876275,gbm
2023,85353,6615,0.17691235223132168,0.21315192743764172,0.1656755440831569,0.5113621310350839,0.5826753462641623,0.16903149007839458,0.5223941216849162,gbm
2024,91968,6642,0.1793884829505915,0.17434507678410116,0.1436916865909378,0.4597978606837115,0.5845257643841276,0.14397430693100724,0.46279646733741575,gbm
2025,98610,6695,0.17896765033972215,0.1870052277819268,0.1530849617325171,0.4826238609543306,0.5891884760976229,0.15209887521529591,0.4820685737878198,gbm
2026,105305,4424,0.17923175537723754,0.1385623869801085,0.12435779074982567,0.4093396992838604,0.6204838488054882,0.12101684942030455,0.4083456307813445,gbm
