fold,n_train,n_test,train_base_rate,test_base_rate,brier,log_loss,roc_auc,naive_brier,naive_log_loss
2014,27968,6240,0.38247282608695654,0.4405448717948718,0.2657170504001393,0.7738695125873335,0.5425855749842212,0.249837450222814,0.6930820394283107
2015,34208,6312,0.3905811506080449,0.22702788339670468,0.21678420188674194,0.6247910232978036,0.5367039365914017,0.202235894772621,0.5962473848184036
2016,40520,6344,0.36890424481737416,0.35151324085750313,0.24017058406695294,0.6776311225569551,0.4771684132275006,0.22825412937809036,0.6490323384490746
2017,46864,6280,0.3630078525093889,0.43980891719745224,0.25710974077438337,0.7099518513033392,0.5501083905302985,0.25227543708827693,0.6983169579032361
2018,53150,6265,0.37040451552210724,0.32386272944932165,0.22186504228737494,0.635577315237119,0.5319026151027291,0.22114179977380208,0.6344810477930186
2019,59425,6202,0.36864955826672274,0.3587552402450822,0.2340268130371468,0.7139103086560887,0.5304045452362319,0.23014781537088888,0.652909751564237
2020,65611,6464,0.3665391473990642,0.3969678217821782,0.24359356265224152,0.7576233675386868,0.556619608672753,0.2403102744764046,0.6737353425087693
2021,72075,6420,0.36814429413805067,0.3940809968847352,0.24089625486732003,0.6763735980901908,0.5381212595384943,0.2394538773284384,0.6719712971120385
2022,78495,6473,0.3704949359831836,0.35717596168700755,0.23159030654680526,0.6560798742835425,0.5135644337891228,0.22977868915627112,0.6521582586112181
2023,84948,6615,0.37121533173235394,0.4530612244897959,0.2536236087809401,0.7014041205663075,0.5208119488569093,0.2544955015148654,0.7027326558465434
2024,91563,6642,0.3759269573954545,0.35380909364649205,0.22862961311747915,0.6497762108310792,0.5318958577065693,0.22911741879635752,0.650823981180759
2025,98205,6695,0.3761621098722061,0.3592233009708738,0.230980119885285,0.6543445776828078,0.529065127526666,0.2304688442574587,0.6535851526025743
2026,104900,4019,0.3738703527168732,0.272704652898731,0.21031371096132326,0.6115499884542198,0.5497239362618648,0.2085713240058081,0.6088175340110261
