fold,variant,brier,log_loss,roc_auc,ece
2015,raw,0.0520444906256261,0.215412222742799,0.6467662622600785,0.07785568540340138
2016,raw,0.07114951841075201,0.26460861105633277,0.6656963345705067,0.05147276895620801
2017,raw,0.11569720885296299,0.38450988666735114,0.647874064386734,0.029243298741213362
2018,raw,0.07777673983374572,0.28431578658261353,0.616317707103775,0.03752097877866252
2019,raw,0.07965746105850605,0.2868301244162903,0.6815176130102094,0.036479167707895166
2020,raw,0.12265756648156992,0.42886399877101494,0.5307972676917989,0.07230884915030514
2021,raw,0.11819046935126833,0.39937099455106373,0.6410195854732142,0.04077465825511903
2022,raw,0.06995190110162636,0.2655104343220512,0.6044542837095642,0.02670014904374405
2023,raw,0.1287053406577385,0.42016155542725525,0.6234675057148569,0.020294395373109415
2024,raw,0.08733126703452658,0.30969478152095137,0.6644984444045865,0.017478915130815953
2025,raw,0.08913639521067226,0.3151369765220792,0.6769094802099072,0.02965031201043337
2026,raw,0.05010252194525582,0.20396803895274598,0.7134618041165908,0.0432955814734919
2015,sigmoid,0.05646081935587497,0.24960922816458783,0.6467662622600785,0.12036476009824132
2016,sigmoid,0.06691166373520681,0.26021621395119304,0.6656963345705067,0.03521906712296274
2017,sigmoid,0.11815930123504599,0.40033296797262935,0.647874064386734,0.05868706085500516
2018,sigmoid,0.07374749215230714,0.2786011564955824,0.616317707103775,0.03345933536336009
2019,sigmoid,0.07891716103059988,0.2905400034795587,0.6815176130102094,0.03869517831631377
2020,sigmoid,0.11780226320294998,0.40431481932075336,0.5307972676917989,0.04384499665662126
2021,sigmoid,0.1203234084276763,0.4052355324727327,0.6410195854732142,0.05306669471062351
2022,sigmoid,0.06933727716938448,0.2669385391480845,0.6044542837095642,0.02645282525391749
2023,sigmoid,0.13100787073296738,0.4306818311773703,0.6234675057148569,0.04669684341407788
2024,sigmoid,0.08826140211696061,0.31640459247053143,0.6644984444045865,0.031164947870128617
2025,sigmoid,0.08928982475107629,0.3182537676285483,0.6769094802099072,0.03172379313371538
2026,sigmoid,0.05029281235605617,0.21150327457491203,0.7134618041165908,0.04577242189121008
2015,isotonic,0.062004866131117206,0.2646801297024654,0.6231342906725079,0.1394699372514815
2016,isotonic,0.06679933410656415,0.25764703845596965,0.6453981067327985,0.034932644832360076
2017,isotonic,0.11694838050689221,0.39229283155210226,0.6430384471576654,0.041814814206330396
2018,isotonic,0.07551487043886253,0.3696340747580505,0.6137139158332656,0.028018804525579102
2019,isotonic,0.07802839424641397,0.2836934929282722,0.6751385336743394,0.02157339814904109
2020,isotonic,0.1186915246106942,0.41964913699114353,0.5303192170965608,0.04499007124489987
2021,isotonic,0.11925087150027686,0.4044647930201877,0.6396255973045525,0.04390101896506028
2022,isotonic,0.06936599812203155,0.2654631969266833,0.6032936191098346,0.031376970267323334
2023,isotonic,0.12996126434599378,0.425236098951023,0.6260595735804122,0.0377079075476766
2024,isotonic,0.08772695181020428,0.31250484178325,0.6618887574585459,0.022882569120737134
2025,isotonic,0.08937743808838713,0.31701242314340533,0.6734756450982857,0.03336055053159268
2026,isotonic,0.04981309087015487,0.2055813872941526,0.7137267829559583,0.04362719283183346
