feature,mean_abs_shap
numeric__realized_vol_20d,0.3721524724453423
numeric__realized_vol_60d,0.09092424994113849
numeric__volume_ratio_20,0.06640639793488405
numeric__bb_width,0.047895644620309916
numeric__corr_20d_vs_nifty,0.047192239791086533
numeric__close_over_sma_200,0.04615856130498952
numeric__sma_200,0.04522123079963558
sector__sector_Auto,0.04142003054087963
numeric__beta_20d_vs_nifty,0.03652566555851822
numeric__log_return_5d,0.0337370600406747
numeric__macd_hist,0.02958710458904441
numeric__close_over_sma_10,0.026698992875502005
numeric__close_over_sma_50,0.024846109856694592
numeric__beta_60d_vs_nifty,0.02004566429684906
numeric__corr_60d_vs_nifty,0.01926075130770353
sector__sector_FMCG,0.014662886114488054
numeric__gold_return_5d,0.014058281608338219
numeric__close_over_sma_20,0.012796406178535249
numeric__ema_26,0.012655258159204175
numeric__gold_return_20d,0.012287290078542163
numeric__ema_12,0.011888131803143657
numeric__sma_50,0.011192432671572203
numeric__atr_14,0.011014849868174675
numeric__macd_signal,0.010293219186085141
numeric__macd_line,0.009595965425895234
numeric__sma_10,0.008274969559806259
numeric__excess_return_20d_vs_nifty,0.008263384028918627
numeric__excess_return_5d_vs_nifty,0.007996326872323285
numeric__rsi_14,0.006372754473627162
numeric__bb_lower,0.00575942200995803
numeric__bb_upper,0.005635607920670807
numeric__bb_pct_b,0.005052233201960087
numeric__sma_20,0.004466789917696113
numeric__log_return_20d,0.004148007357967656
numeric__log_return_10d,0.0035361667318455866
sector__sector_Banking,0.0033068592447473436
numeric__log_return_1d,0.002883327152106341
numeric__roc_10,0.0025450849234814987
sector__sector_commodity,0.0016868210465248261
sector__sector_IT,0.0015541129490428051
sector__sector_Pharma,0.0012107419456235044
sector__sector_Energy,0.0010390119805544946
sector__sector_Infrastructure,0.0008231417022011747
numeric__bb_mid,0.0
sector__sector_Metals,0.0
sector__sector_Telecom,0.0
sector__sector_index,0.0
