vol_bucket,n,positive_rate,brier,naive_brier,log_loss,naive_log_loss,roc_auc
q1_of_3,26991,0.162683857582157,0.13967941982874899,0.13621782006434546,0.45407636020879244,0.4440936504233031,0.5394604813143538
q2_of_3,26990,0.09870322341608002,0.09054474896418886,0.08896089710335542,0.32883380305567655,0.32222428548969767,0.5174181442192007
q3_of_3,26990,0.051871063356798815,0.05132569582154081,0.04918045614303378,0.20912673656607153,0.20398805136620687,0.5890716379165969
