n_trades,win_rate,mean_gross_return,mean_net_return,baseline_mean_return,percentile_threshold
9735,0.5051874678993323,0.0023875938595995087,0.00038759385959950793,0.0024356884267463146,0.5
5550,0.5194594594594595,0.0028692722999276443,0.0008692722999276437,0.0024356884267463146,0.75
2597,0.5209857527916827,0.0029083867804061037,0.000908386780406103,0.0024356884267463146,0.9
1450,0.5289655172413793,0.004765112999239527,0.0027651129992395255,0.0024356884267463146,0.95
